Home Team,Away Team,Reason,Score,URL,UTC Time
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,0 - 1,/match/839915/matchfacts/arsenal-vs-newcastle-united,2010-11-07T12:30:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,0 - 2,/match/839922/matchfacts/west-bromwich-albion-vs-manchester-city,2010-11-07T14:00:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,2 - 0,/match/839916/matchfacts/liverpool-vs-chelsea,2010-11-07T15:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,3 - 2,/match/839927/matchfacts/stoke-city-vs-birmingham-city,2010-11-09T18:45:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,1 - 1,/match/839924/matchfacts/tottenham-hotspur-vs-sunderland,2010-11-09T19:00:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,3 - 2,/match/839929/matchfacts/aston-villa-vs-blackpool,2010-11-10T18:45:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,1 - 0,/match/839933/matchfacts/chelsea-vs-fulham,2010-11-10T18:45:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,1 - 2,/match/839931/matchfacts/newcastle-united-vs-blackburn-rovers,2010-11-10T18:45:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,2 - 2,/match/839925/matchfacts/west-ham-united-vs-west-bromwich-albion,2010-11-10T18:45:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,1 - 1,/match/839928/matchfacts/wigan-athletic-vs-liverpool,2010-11-10T18:45:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,0 - 2,/match/839926/matchfacts/wolverhampton-wanderers-vs-arsenal,2010-11-10T18:45:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,1 - 1,/match/839930/matchfacts/everton-vs-bolton-wanderers,2010-11-10T19:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}",FT,0 - 0,/match/839932/matchfacts/manchester-city-vs-manchester-united,2010-11-10T19:00:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}",FT,2 - 2,/match/839936/matchfacts/aston-villa-vs-manchester-united,2010-11-13T11:45:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,0 - 0,/match/839939/matchfacts/manchester-city-vs-birmingham-city,2010-11-13T14:00:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,0 - 0,/match/839938/matchfacts/newcastle-united-vs-fulham,2010-11-13T14:00:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,4 - 2,/match/839934/matchfacts/tottenham-hotspur-vs-blackburn-rovers,2010-11-13T14:00:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,0 - 0,/match/839935/matchfacts/west-ham-united-vs-blackpool,2010-11-13T14:00:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,1 - 0,/match/839942/matchfacts/wigan-athletic-vs-west-bromwich-albion,2010-11-13T14:00:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,2 - 3,/match/839940/matchfacts/wolverhampton-wanderers-vs-bolton-wanderers,2010-11-13T14:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,2 - 0,/match/839941/matchfacts/stoke-city-vs-liverpool,2010-11-13T16:30:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,1 - 2,/match/839937/matchfacts/everton-vs-arsenal,2010-11-14T13:00:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,0 - 3,/match/839943/matchfacts/chelsea-vs-sunderland,2010-11-14T15:10:00.000Z
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,2 - 3,/match/839945/matchfacts/arsenal-vs-tottenham-hotspur,2010-11-20T11:45:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,1 - 0,/match/839950/matchfacts/birmingham-city-vs-chelsea,2010-11-20T14:00:00.000Z
"{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,2 - 1,/match/839953/matchfacts/blackpool-vs-wolverhampton-wanderers,2010-11-20T14:00:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,5 - 1,/match/839951/matchfacts/bolton-wanderers-vs-newcastle-united,2010-11-20T14:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,2 - 0,/match/839944/matchfacts/manchester-united-vs-wigan-athletic,2010-11-20T14:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,0 - 3,/match/839952/matchfacts/west-bromwich-albion-vs-stoke-city,2010-11-20T14:00:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,3 - 0,/match/839946/matchfacts/liverpool-vs-west-ham-united,2010-11-20T16:30:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,2 - 0,/match/839948/matchfacts/blackburn-rovers-vs-aston-villa,2010-11-21T12:30:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,1 - 4,/match/839949/matchfacts/fulham-vs-manchester-city,2010-11-21T15:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,2 - 2,/match/839947/matchfacts/sunderland-vs-everton,2010-11-22T19:00:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,2 - 4,/match/839957/matchfacts/aston-villa-vs-arsenal,2010-11-27T11:45:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,2 - 2,/match/839962/matchfacts/bolton-wanderers-vs-blackpool,2010-11-27T14:00:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,1 - 4,/match/839958/matchfacts/everton-vs-west-bromwich-albion,2010-11-27T14:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,1 - 1,/match/839961/matchfacts/fulham-vs-birmingham-city,2010-11-27T14:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,7 - 1,/match/839954/matchfacts/manchester-united-vs-blackburn-rovers,2010-11-27T14:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,1 - 1,/match/839963/matchfacts/stoke-city-vs-manchester-city,2010-11-27T14:00:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,3 - 1,/match/839956/matchfacts/west-ham-united-vs-wigan-athletic,2010-11-27T14:00:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,3 - 2,/match/839960/matchfacts/wolverhampton-wanderers-vs-sunderland,2010-11-27T14:00:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,1 - 1,/match/839959/matchfacts/newcastle-united-vs-chelsea,2010-11-28T12:30:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,2 - 1,/match/839955/matchfacts/tottenham-hotspur-vs-liverpool,2010-11-28T15:00:00.000Z
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,2 - 1,/match/839964/matchfacts/arsenal-vs-fulham,2010-12-04T14:00:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,1 - 1,/match/839969/matchfacts/birmingham-city-vs-tottenham-hotspur,2010-12-04T14:00:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,3 - 0,/match/839968/matchfacts/blackburn-rovers-vs-wolverhampton-wanderers,2010-12-04T14:00:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,1 - 1,/match/839973/matchfacts/chelsea-vs-everton,2010-12-04T14:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,1 - 0,/match/839967/matchfacts/manchester-city-vs-bolton-wanderers,2010-12-04T14:00:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,2 - 2,/match/839972/matchfacts/wigan-athletic-vs-stoke-city,2010-12-04T14:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,3 - 1,/match/839970/matchfacts/west-bromwich-albion-vs-newcastle-united,2010-12-05T12:30:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,1 - 0,/match/839966/matchfacts/sunderland-vs-west-ham-united,2010-12-05T15:00:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,3 - 0,/match/839965/matchfacts/liverpool-vs-aston-villa,2010-12-06T19:00:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,2 - 1,/match/839977/matchfacts/aston-villa-vs-west-bromwich-albion,2010-12-11T14:00:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,0 - 0,/match/839978/matchfacts/everton-vs-wigan-athletic,2010-12-11T14:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,0 - 0,/match/839981/matchfacts/fulham-vs-sunderland,2010-12-11T14:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,0 - 1,/match/839983/matchfacts/stoke-city-vs-blackpool,2010-12-11T14:00:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,1 - 3,/match/839976/matchfacts/west-ham-united-vs-manchester-city,2010-12-11T14:00:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,3 - 1,/match/839979/matchfacts/newcastle-united-vs-liverpool,2010-12-11T16:30:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,2 - 1,/match/839982/matchfacts/bolton-wanderers-vs-blackburn-rovers,2010-12-12T12:30:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,1 - 0,/match/839980/matchfacts/wolverhampton-wanderers-vs-birmingham-city,2010-12-12T12:30:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,1 - 1,/match/839975/matchfacts/tottenham-hotspur-vs-chelsea,2010-12-12T15:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,1 - 0,/match/839974/matchfacts/manchester-united-vs-arsenal,2010-12-13T19:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,1 - 0,/match/839986/matchfacts/sunderland-vs-bolton-wanderers,2010-12-18T11:45:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,1 - 1,/match/839988/matchfacts/blackburn-rovers-vs-west-ham-united,2010-12-18T14:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,1 - 2,/match/839987/matchfacts/manchester-city-vs-everton,2010-12-20T19:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,1 - 3,/match/840001/matchfacts/fulham-vs-west-ham-united,2010-12-26T11:00:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,0 - 2,/match/840000/matchfacts/blackburn-rovers-vs-stoke-city,2010-12-26T14:00:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,2 - 0,/match/840002/matchfacts/bolton-wanderers-vs-west-bromwich-albion,2010-12-26T14:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,2 - 0,/match/839994/matchfacts/manchester-united-vs-sunderland,2010-12-26T14:00:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,1 - 3,/match/839998/matchfacts/newcastle-united-vs-manchester-city,2010-12-26T14:00:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,1 - 2,/match/839999/matchfacts/wolverhampton-wanderers-vs-wigan-athletic,2010-12-26T14:00:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,1 - 2,/match/839996/matchfacts/aston-villa-vs-tottenham-hotspur,2010-12-26T16:30:00.000Z
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,3 - 1,/match/839995/matchfacts/arsenal-vs-chelsea,2010-12-27T19:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,4 - 0,/match/840008/matchfacts/manchester-city-vs-aston-villa,2010-12-28T14:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,0 - 2,/match/840011/matchfacts/stoke-city-vs-fulham,2010-12-28T14:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,0 - 2,/match/840005/matchfacts/sunderland-vs-blackpool,2010-12-28T14:00:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,2 - 0,/match/840006/matchfacts/tottenham-hotspur-vs-newcastle-united,2010-12-28T14:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,1 - 3,/match/840010/matchfacts/west-bromwich-albion-vs-blackburn-rovers,2010-12-28T14:00:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,1 - 1,/match/840007/matchfacts/west-ham-united-vs-everton,2010-12-28T16:30:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}",FT,1 - 1,/match/840009/matchfacts/birmingham-city-vs-manchester-united,2010-12-28T19:00:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,1 - 0,/match/840013/matchfacts/chelsea-vs-bolton-wanderers,2010-12-29T18:45:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,2 - 2,/match/840012/matchfacts/wigan-athletic-vs-arsenal,2010-12-29T18:45:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,0 - 1,/match/840004/matchfacts/liverpool-vs-wolverhampton-wanderers,2010-12-29T19:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}",FT,1 - 2,/match/840061/matchfacts/west-bromwich-albion-vs-manchester-united,2011-01-01T11:45:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,2 - 1,/match/840055/matchfacts/liverpool-vs-bolton-wanderers,2011-01-01T14:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,1 - 0,/match/840059/matchfacts/manchester-city-vs-blackpool,2011-01-01T14:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,2 - 0,/match/840062/matchfacts/stoke-city-vs-everton,2011-01-01T14:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,3 - 0,/match/840056/matchfacts/sunderland-vs-blackburn-rovers,2011-01-01T14:00:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,1 - 0,/match/840057/matchfacts/tottenham-hotspur-vs-fulham,2011-01-01T14:00:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,2 - 0,/match/840058/matchfacts/west-ham-united-vs-wolverhampton-wanderers,2011-01-01T14:00:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,0 - 3,/match/840060/matchfacts/birmingham-city-vs-arsenal,2011-01-01T16:30:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,3 - 3,/match/840064/matchfacts/chelsea-vs-aston-villa,2011-01-02T12:30:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,0 - 1,/match/840063/matchfacts/wigan-athletic-vs-newcastle-united,2011-01-02T15:00:00.000Z
"{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,1 - 2,/match/840069/matchfacts/blackpool-vs-birmingham-city,2011-01-04T19:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,3 - 0,/match/840074/matchfacts/fulham-vs-west-bromwich-albion,2011-01-04T19:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,2 - 1,/match/840065/matchfacts/manchester-united-vs-stoke-city,2011-01-04T19:00:00.000Z
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,0 - 0,/match/840066/matchfacts/arsenal-vs-manchester-city,2011-01-05T18:45:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,0 - 1,/match/840070/matchfacts/aston-villa-vs-sunderland,2011-01-05T18:45:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,5 - 0,/match/840072/matchfacts/newcastle-united-vs-west-ham-united,2011-01-05T18:45:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,1 - 0,/match/840067/matchfacts/wolverhampton-wanderers-vs-chelsea,2011-01-05T18:45:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,3 - 1,/match/840073/matchfacts/blackburn-rovers-vs-liverpool,2011-01-05T19:00:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,1 - 1,/match/840068/matchfacts/bolton-wanderers-vs-wigan-athletic,2011-01-05T19:00:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,2 - 1,/match/840071/matchfacts/everton-vs-tottenham-hotspur,2011-01-05T19:00:00.000Z
"{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,2 - 1,/match/840003/matchfacts/blackpool-vs-liverpool,2011-01-12T19:00:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,2 - 0,/match/840084/matchfacts/chelsea-vs-blackburn-rovers,2011-01-15T14:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,4 - 3,/match/840079/matchfacts/manchester-city-vs-wolverhampton-wanderers,2011-01-15T14:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,2 - 0,/match/840082/matchfacts/stoke-city-vs-bolton-wanderers,2011-01-15T14:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,3 - 2,/match/840081/matchfacts/west-bromwich-albion-vs-blackpool,2011-01-15T14:00:00.000Z
