Home Team,Away Team,Reason,Score,URL,UTC Time
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,1 - 1,/match/839839/matchfacts/wolverhampton-wanderers-vs-newcastle-united,2010-08-28T12:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,3 - 0,/match/839834/matchfacts/manchester-united-vs-west-ham-united,2010-08-28T14:30:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,2 - 2,/match/839841/matchfacts/bolton-wanderers-vs-birmingham-city,2010-08-29T10:30:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,1 - 0,/match/839835/matchfacts/liverpool-vs-west-bromwich-albion,2010-08-29T12:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,1 - 0,/match/839836/matchfacts/sunderland-vs-manchester-city,2010-08-29T12:00:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,1 - 0,/match/839838/matchfacts/aston-villa-vs-everton,2010-08-29T13:00:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}",FT,3 - 3,/match/839846/matchfacts/everton-vs-manchester-united,2010-09-11T09:45:00.000Z
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,4 - 1,/match/839844/matchfacts/arsenal-vs-bolton-wanderers,2010-09-11T12:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,2 - 1,/match/839849/matchfacts/fulham-vs-wolverhampton-wanderers,2010-09-11T12:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,1 - 1,/match/839848/matchfacts/manchester-city-vs-blackburn-rovers,2010-09-11T12:00:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,0 - 2,/match/839847/matchfacts/newcastle-united-vs-blackpool,2010-09-11T12:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,1 - 1,/match/839851/matchfacts/west-bromwich-albion-vs-tottenham-hotspur,2010-09-11T12:00:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,1 - 3,/match/839845/matchfacts/west-ham-united-vs-chelsea,2010-09-11T12:00:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,1 - 1,/match/839853/matchfacts/wigan-athletic-vs-sunderland,2010-09-11T12:00:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,0 - 0,/match/839850/matchfacts/birmingham-city-vs-liverpool,2010-09-12T13:00:00.000Z
