,0
477,Manchester City
478,Man City
479,8456
480,839936
481,Aston Villa
482,Aston Villa
483,10252
484,839939
485,Manchester City
486,Man City
487,8456
488,839938
489,Newcastle United
490,Newcastle
491,10261
492,839934
493,Tottenham Hotspur
494,Tottenham
495,8586
496,839935
497,West Ham United
498,West Ham
499,8654
500,839942
501,Wigan Athletic
502,Wigan
503,8528
504,839940
505,Wolverhampton Wanderers
506,Wolves
507,8602
508,839941
509,Stoke City
510,Stoke
511,10194
512,839937
513,Everton
514,Everton
515,8668
516,839943
517,Chelsea
518,Chelsea
519,8455
520,839945
521,Arsenal
522,Arsenal
523,9825
524,839950
525,Birmingham City
526,Birmingham
527,8658
528,839953
529,Blackpool
530,Blackpool
531,8483
532,839951
533,Bolton Wanderers
534,Bolton
535,8559
536,839944
537,Manchester United
538,Man United
539,10260
540,839952
541,West Bromwich Albion
542,West Brom
543,8659
544,839946
545,Liverpool
546,Liverpool
547,8650
548,839948
549,Blackburn Rovers
550,Blackburn
551,8655
552,839949
553,Fulham
554,Fulham
555,9879
556,839947
557,Sunderland
558,Sunderland
559,8472
560,839957
561,Aston Villa
562,Aston Villa
563,10252
564,839962
565,Bolton Wanderers
566,Bolton
567,8559
568,839958
569,Everton
570,Everton
571,8668
572,839961
573,Fulham
574,Fulham
575,9879
576,839954
577,Manchester United
578,Man United
579,10260
580,839963
581,Stoke City
582,Stoke
583,10194
584,839956
585,West Ham United
586,West Ham
587,8654
588,839960
589,Wolverhampton Wanderers
590,Wolves
591,8602
592,839959
593,Newcastle United
594,Newcastle
595,10261
596,839955
597,Tottenham Hotspur
598,Tottenham
599,8586
600,839964
601,Arsenal
602,Arsenal
603,9825
604,839969
605,Birmingham City
606,Birmingham
607,8658
608,839968
609,Blackburn Rovers
610,Blackburn
611,8655
612,839973
613,Chelsea
614,Chelsea
615,8455
616,839967
617,Manchester City
618,Man City
619,8456
620,839972
621,Wigan Athletic
622,Wigan
623,8528
624,839970
625,West Bromwich Albion
626,West Brom
627,8659
628,839966
629,Sunderland
630,Sunderland
631,8472
632,839965
633,Liverpool
634,Liverpool
635,8650
636,839977
637,Aston Villa
638,Aston Villa
639,10252
640,839978
641,Everton
642,Everton
643,8668
644,839981
645,Fulham
646,Fulham
647,9879
648,839983
649,Stoke City
650,Stoke
651,10194
652,839976
653,West Ham United
654,West Ham
655,8654
656,839979
657,Newcastle United
658,Newcastle
659,10261
660,839982
661,Bolton Wanderers
662,Bolton
663,8559
664,839980
665,Wolverhampton Wanderers
666,Wolves
667,8602
668,839975
669,Tottenham Hotspur
670,Tottenham
671,8586
672,839974
673,Manchester United
674,Man United
675,10260
676,839986
677,Sunderland
678,Sunderland
679,8472
680,839988
681,Blackburn Rovers
682,Blackburn
683,8655
684,839987
685,Manchester City
686,Man City
687,8456
688,840001
689,Fulham
690,Fulham
691,9879
692,840000
693,Blackburn Rovers
694,Blackburn
695,8655
696,840002
697,Bolton Wanderers
698,Bolton
699,8559
700,839994
701,Manchester United
702,Man United
703,10260
704,839998
705,Newcastle United
706,Newcastle
707,10261
708,839999
709,Wolverhampton Wanderers
710,Wolves
711,8602
712,839996
713,Aston Villa
714,Aston Villa
715,10252
716,839995
717,Arsenal
718,Arsenal
719,9825
720,840008
721,Manchester City
722,Man City
723,8456
724,840011
725,Stoke City
726,Stoke
727,10194
728,840005
729,Sunderland
730,Sunderland
731,8472
732,840006
733,Tottenham Hotspur
734,Tottenham
735,8586
736,840010
737,West Bromwich Albion
738,West Brom
739,8659
740,840007
741,West Ham United
742,West Ham
743,8654
744,840009
745,Birmingham City
746,Birmingham
747,8658
748,840013
749,Chelsea
750,Chelsea
751,8455
752,840012
753,Wigan Athletic
754,Wigan
755,8528
756,840004
757,Liverpool
758,Liverpool
759,8650
760,840061
761,West Bromwich Albion
762,West Brom
763,8659
764,840055
765,Liverpool
766,Liverpool
767,8650
768,840059
769,Manchester City
770,Man City
771,8456
772,840062
773,Stoke City
774,Stoke
775,10194
776,840056
777,Sunderland
778,Sunderland
779,8472
780,840057
781,Tottenham Hotspur
782,Tottenham
783,8586
784,840058
785,West Ham United
786,West Ham
787,8654
788,840060
789,Birmingham City
790,Birmingham
791,8658
792,840064
793,Chelsea
794,Chelsea
795,8455
796,840063
797,Wigan Athletic
798,Wigan
799,8528
800,840069
801,Blackpool
802,Blackpool
803,8483
804,840074
805,Fulham
806,Fulham
807,9879
808,840065
809,Manchester United
810,Man United
811,10260
812,840066
813,Arsenal
814,Arsenal
815,9825
816,840070
817,Aston Villa
818,Aston Villa
819,10252
820,840072
821,Newcastle United
822,Newcastle
823,10261
824,840067
825,Wolverhampton Wanderers
826,Wolves
827,8602
828,840073
829,Blackburn Rovers
830,Blackburn
831,8655
832,840068
833,Bolton Wanderers
834,Bolton
835,8559
836,840071
837,Everton
838,Everton
839,8668
840,840003
841,Blackpool
842,Blackpool
843,8483
844,840084
845,Chelsea
846,Chelsea
847,8455
848,840079
849,Manchester City
850,Man City
851,8456
852,840082
853,Stoke City
854,Stoke
855,10194
856,840081
857,West Bromwich Albion
858,West Brom
859,8659
860,840083
861,Wigan Athletic
862,Wigan
863,8528
864,840078
865,West Ham United
866,West Ham
867,8654
868,840080
869,Birmingham City
870,Birmingham
871,8658
872,840076
873,Sunderland
874,Sunderland
875,8472
876,840075
877,Liverpool
878,Liverpool
879,8650
880,840077
881,Tottenham Hotspur
882,Tottenham
883,8586
884,840090
885,Wolverhampton Wanderers
886,Wolves
887,8602
888,840086
889,Arsenal
890,Arsenal
891,9825
892,840094
893,Blackpool
894,Blackpool
895,8483
896,840088
897,Everton
898,Everton
899,8668
900,840092
901,Fulham
902,Fulham
903,9879
904,840085
905,Manchester United
906,Man United
907,10260
908,840089
909,Newcastle United
910,Newcastle
911,10261
912,840087
913,Aston Villa
914,Aston Villa
915,10252
916,840091
917,Blackburn Rovers
918,Blackburn
919,8655
920,840093
921,Bolton Wanderers
922,Bolton
923,8559
924,839971
925,Blackpool
926,Blackpool
927,8483
928,839992
929,Wigan Athletic
930,Wigan
931,8528
932,839985
933,Liverpool
934,Liverpool
935,8650
936,840096
937,Arsenal
938,Arsenal
939,9825
940,840097
941,Sunderland
942,Sunderland
943,8472
944,840095
945,Manchester United
946,Man United
947,10260
948,840100
949,West Bromwich Albion
950,West Brom
951,8659
952,840098
953,Birmingham City
954,Birmingham
955,8658
956,840103
957,Blackburn Rovers
958,Blackburn
959,8655
960,840101
961,Blackpool
962,Blackpool
963,8483
964,840099
965,Bolton Wanderers
966,Bolton
967,8559
968,840104
969,Fulham
970,Fulham
971,9879
972,840102
973,Liverpool
974,Liverpool
975,8650
976,840112
977,Stoke City
978,Stoke
979,10194
980,840107
981,Aston Villa
982,Aston Villa
983,10252
984,840108
985,Everton
986,Everton
987,8668
988,840110
989,Manchester City
990,Man City
991,8456
992,840109
993,Newcastle United
994,Newcastle
995,10261
996,840105
997,Tottenham Hotspur
998,Tottenham
999,8586
1000,840113
1001,Wigan Athletic
1002,Wigan
1003,8528
1004,840111
1005,Wolverhampton Wanderers
1006,Wolves
1007,8602
1008,840106
1009,West Ham United
1010,West Ham
1011,8654
1012,840114
1013,Chelsea
1014,Chelsea
1015,8455
1016,840115
1017,Manchester United
1018,Man United
1019,10260
1020,840116
1021,Arsenal
1022,Arsenal
1023,9825
1024,840121
1025,Birmingham City
1026,Birmingham
1027,8658
1028,840119
1029,Blackburn Rovers
1030,Blackburn
1031,8655
1032,840124
1033,Blackpool
1034,Blackpool
1035,8483
1036,840117
1037,Liverpool
1038,Liverpool
1039,8650
1040,840123
1041,West Bromwich Albion
1042,West Brom
1043,8659
1044,840118
1045,Sunderland
1046,Sunderland
1047,8472
1048,840122
1049,Bolton Wanderers
1050,Bolton
1051,8559
1052,840120
1053,Fulham
1054,Fulham
1055,9879
1056,839989
1057,Birmingham City
1058,Birmingham
1059,8658
1060,839990
1061,West Bromwich Albion
1062,West Brom
1063,8659
1064,839991
1065,Blackpool
1066,Blackpool
1067,8483
1068,839984
1069,Arsenal
1070,Arsenal
1071,9825
1072,840127
1073,Aston Villa
1074,Aston Villa
1075,10252
1076,840128
1077,Everton
1078,Everton
1079,8668
1080,840129
1081,Newcastle United
1082,Newcastle
1083,10261
1084,840133
1085,Wigan Athletic
1086,Wigan
1087,8528
1088,840131
1089,Wolverhampton Wanderers
1090,Wolves
1091,8602
1092,840126
1093,West Ham United
1094,West Ham
1095,8654
1096,840130
1097,Manchester City
1098,Man City
1099,8456
