,0,1,2,3,4,5,6,7,8,9,10
34,Newcastle United,Newcastle,10261,Blackpool,Blackpool,8483,FT,0 - 2,/match/839847/matchfacts/newcastle-united-vs-blackpool,839847,2010-09-11T12:00:00.000Z
35,West Bromwich Albion,West Brom,8659,Tottenham Hotspur,Tottenham,8586,FT,01-Jan,/match/839851/matchfacts/west-bromwich-albion-vs-tottenham-hotspur,839851,2010-09-11T12:00:00.000Z
36,West Ham United,West Ham,8654,Chelsea,Chelsea,8455,FT,01-Mar,/match/839845/matchfacts/west-ham-united-vs-chelsea,839845,2010-09-11T12:00:00.000Z
37,Wigan Athletic,Wigan,8528,Sunderland,Sunderland,8472,FT,01-Jan,/match/839853/matchfacts/wigan-athletic-vs-sunderland,839853,2010-09-11T12:00:00.000Z
38,Birmingham City,Birmingham,8658,Liverpool,Liverpool,8650,FT,0 - 0,/match/839850/matchfacts/birmingham-city-vs-liverpool,839850,2010-09-12T13:00:00.000Z
39,Stoke City,Stoke,10194,Aston Villa,Aston Villa,10252,FT,02-Jan,/match/839852/matchfacts/stoke-city-vs-aston-villa,839852,2010-09-13T17:00:00.000Z
40,Stoke City,Stoke,10194,West Ham United,West Ham,8654,FT,01-Jan,/match/839861/matchfacts/stoke-city-vs-west-ham-united,839861,2010-09-18T09:45:00.000Z
41,Aston Villa,Aston Villa,10252,Bolton Wanderers,Bolton,8559,FT,01-Jan,/match/839857/matchfacts/aston-villa-vs-bolton-wanderers,839857,2010-09-18T12:00:00.000Z
42,Blackburn Rovers,Blackburn,8655,Fulham,Fulham,9879,FT,01-Jan,/match/839859/matchfacts/blackburn-rovers-vs-fulham,839859,2010-09-18T12:00:00.000Z
43,Everton,Everton,8668,Newcastle United,Newcastle,10261,FT,0 - 1,/match/839858/matchfacts/everton-vs-newcastle-united,839858,2010-09-18T12:00:00.000Z
44,Tottenham Hotspur,Tottenham,8586,Wolverhampton Wanderers,Wolves,8602,FT,03-Jan,/match/839856/matchfacts/tottenham-hotspur-vs-wolverhampton-wanderers,839856,2010-09-18T12:00:00.000Z
45,West Bromwich Albion,West Brom,8659,Birmingham City,Birmingham,8658,FT,03-Jan,/match/839860/matchfacts/west-bromwich-albion-vs-birmingham-city,839860,2010-09-18T12:00:00.000Z
46,Sunderland,Sunderland,8472,Arsenal,Arsenal,9825,FT,01-Jan,/match/839855/matchfacts/sunderland-vs-arsenal,839855,2010-09-18T14:30:00.000Z
47,Manchester United,Man United,10260,Liverpool,Liverpool,8650,FT,03-Feb,/match/839854/matchfacts/manchester-united-vs-liverpool,839854,2010-09-19T10:30:00.000Z
48,Wigan Athletic,Wigan,8528,Manchester City,Man City,8456,FT,0 - 2,/match/839862/matchfacts/wigan-athletic-vs-manchester-city,839862,2010-09-19T12:00:00.000Z
49,Chelsea,Chelsea,8455,Blackpool,Blackpool,8483,FT,4 - 0,/match/839863/matchfacts/chelsea-vs-blackpool,839863,2010-09-19T13:00:00.000Z
50,Manchester City,Man City,8456,Chelsea,Chelsea,8455,FT,1 - 0,/match/839868/matchfacts/manchester-city-vs-chelsea,839868,2010-09-25T09:45:00.000Z
51,Arsenal,Arsenal,9825,West Bromwich Albion,West Brom,8659,FT,02-Mar,/match/839864/matchfacts/arsenal-vs-west-bromwich-albion,839864,2010-09-25T12:00:00.000Z
52,Birmingham City,Birmingham,8658,Wigan Athletic,Wigan,8528,FT,0 - 0,/match/839871/matchfacts/birmingham-city-vs-wigan-athletic,839871,2010-09-25T12:00:00.000Z
53,Blackpool,Blackpool,8483,Blackburn Rovers,Blackburn,8655,FT,01-Feb,/match/839873/matchfacts/blackpool-vs-blackburn-rovers,839873,2010-09-25T12:00:00.000Z
54,Fulham,Fulham,9879,Everton,Everton,8668,FT,0 - 0,/match/839870/matchfacts/fulham-vs-everton,839870,2010-09-25T12:00:00.000Z
55,Liverpool,Liverpool,8650,Sunderland,Sunderland,8472,FT,02-Feb,/match/839865/matchfacts/liverpool-vs-sunderland,839865,2010-09-25T12:00:00.000Z
56,West Ham United,West Ham,8654,Tottenham Hotspur,Tottenham,8586,FT,1 - 0,/match/839866/matchfacts/west-ham-united-vs-tottenham-hotspur,839866,2010-09-25T12:00:00.000Z
57,Bolton Wanderers,Bolton,8559,Manchester United,Man United,10260,FT,02-Feb,/match/839872/matchfacts/bolton-wanderers-vs-manchester-united,839872,2010-09-26T09:00:00.000Z
58,Wolverhampton Wanderers,Wolves,8602,Aston Villa,Aston Villa,10252,FT,01-Feb,/match/839869/matchfacts/wolverhampton-wanderers-vs-aston-villa,839869,2010-09-26T11:05:00.000Z
59,Newcastle United,Newcastle,10261,Stoke City,Stoke,10194,FT,01-Feb,/match/839867/matchfacts/newcastle-united-vs-stoke-city,839867,2010-09-26T13:10:00.000Z
60,Wigan Athletic,Wigan,8528,Wolverhampton Wanderers,Wolves,8602,FT,2 - 0,/match/839882/matchfacts/wigan-athletic-vs-wolverhampton-wanderers,839882,2010-10-02T09:45:00.000Z
61,Birmingham City,Birmingham,8658,Everton,Everton,8668,FT,0 - 2,/match/839879/matchfacts/birmingham-city-vs-everton,839879,2010-10-02T12:00:00.000Z
62,Stoke City,Stoke,10194,Blackburn Rovers,Blackburn,8655,FT,1 - 0,/match/839881/matchfacts/stoke-city-vs-blackburn-rovers,839881,2010-10-02T12:00:00.000Z
